wav_filename,wav_filesize,transcript
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_019.wav,3.5846875,e kanbyɔ ε ɖɔ fitε e nɔ yi azɔmε ɖe aji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_020.wav,1.883125,e ɖe dazɔmε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_021.wav,1.6789375,e gu we
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_022.wav,2.155375,wa se gbe nu mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_023.wav,2.699875,bo nukun mitɔn lε nɔ mɔ nu
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_024.wav,4.3106875,gadagada kpowun ɔ ayi jεn nyavi ɔ jε sin kεkε ji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_025.wav,3.0401875,e kanbyɔ ɖɔ tɔ tɔn ɖo mɔto ace
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_026.wav,4.288,e kanbyɔ ye ɖɔ mεjitɔ yetɔn lε nɔ do fongbe aji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_027.wav,2.3141875,sinnu gbla sin mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_028.wav,2.11,e su gbadanu
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_029.wav,2.064625,ye ɖo na wa gbadanu
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_030.wav,2.38225,zinflu do gɔɔn din
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_031.wav,2.92675,e gbε ɖɔ vi tɔn ma yi azɔmε o
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_032.wav,2.2234375,gan ɔ ɖɔ nu gbaan
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_033.wav,2.5864375,gan ko xo xoxo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_034.wav,2.9040625,lee gbɔn un blo mɔ ɖie
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_035.wav,2.20075,ani gbe a tɔn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_036.wav,4.6736875,cakatu wε tɔn bɔ mi mɔ glo tɔn hla sɔ ε ɖu le ɔ mi mɔ a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_037.wav,1.6789375,go sin fi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_038.wav,2.01925,nu gugu nε a wa nε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_039.wav,1.520125,woo gbε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_040.wav,3.153625,jɔhɔn gugu ɖe nyi egbe zan mε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_041.wav,2.2915,e fun funfun do ji ce
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_042.wav,2.518375,e ɖo tavo ɔ glɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_043.wav,2.427625,e ɖo wema towe gwlε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_044.wav,2.01925,e ɖafɔ tɔn lε glɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_045.wav,1.9058125,e gan gan ɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_046.wav,1.973875,e gan do ɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_047.wav,2.836,vi elɔ ɖo govi katoe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_048.wav,2.246125,e ɖo hun ɔ te gliwun
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_049.wav,1.7243125,e glo nu
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_050.wav,2.155375,e gbingbɔn yovozεn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_051.wav,2.4956875,e gbungbɔn klεn nu mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_052.wav,2.01925,enε ɔ ko kpe a mε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_053.wav,2.155375,e gbla nu mε nu mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_054.wav,3.5846875,lan xwe do geli nɔ xo amyɔsun a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_055.wav,2.01925,gɔ na tɔn lo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_056.wav,2.01925,gbεgɔnu wε nu hwε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_057.wav,2.8133125,ye sa vo nu tɔ ce gbɔ ji ce
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_058.wav,2.4956875,un ɖo mawu gbe xo wε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_059.wav,2.01925,jaan ɖo tavo ɔ ji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_060.wav,1.5428125,e fyan mε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_061.wav,2.609125,e gbo mi do ɖo xwe gbe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_062.wav,1.4974375,ji gbo mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_063.wav,1.6335625,e fyan mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_064.wav,2.1780625,e na wa fyan we
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_065.wav,2.064625,e ku fyan mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_066.wav,2.246125,ma nu xo towe gba gba o
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_067.wav,2.518375,do kokwe kan sɔ nyi gblεlε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_001.wav,1.3839375,e jε gun
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_002.wav,2.2688125,mi ɖo gbesugbesɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_003.wav,2.74525,hlunhlun gbε ɖo fi din
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_004.wav,2.4503125,ye jε tagba glolo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_005.wav,1.747,nyε wε a xo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_006.wav,2.1326875,un ɖo xo ɖɔ nu we wε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_007.wav,3.65275,azɔwiwa kpo xoɖiɖɔ kpo ɔ ye ɖo ganmεganmε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_008.wav,2.3595625,gbe tε nε ɖɔ wε mi ɖe nε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_009.wav,3.335125,hεn dεdε e nɔ ba gidigidi a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_010.wav,2.11,e gblɔ sin nu mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_011.wav,2.2915,atin ce wini hu towe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_012.wav,1.9965625,e da tu gbla
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_013.wav,2.1326875,e da tu gbaan
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_014.wav,2.064625,e da tu gbɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_015.wav,2.0419375,e gan
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_016.wav,3.062875,e nu ahan mu bo nɔ dan gɔgɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_017.wav,1.8150625,hwi wε ɖɔ xo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_018.wav,1.8604375,un wa gɔn towe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_019.wav,2.01925,e jayi gbli
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_020.wav,1.8150625,e jayi gbiwun
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_021.wav,3.7435,nawe elɔ jε gbε ɖo mεmε bi bo sɔ ɖo nuɖe a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_022.wav,2.427625,gbadεndεn ɖo funfun wε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_023.wav,1.83775,hwi wu wε vi ɔ jayi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_024.wav,1.4066875,ahun fun
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_025.wav,2.699875,gan jayi ma bε gbe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_026.wav,1.973875,e nɔ glɔn ji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_027.wav,3.1309375,badagla jayi ɔ gba jεn nɔ gba
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_028.wav,2.836,nu ɔ ɖie tɔ gε do ji tɔn e
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_029.wav,2.1326875,e hεn alin ɔ gɔn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_030.wav,4.5829375,atin gɔndɔngɔndɔn ji e nɔ gbɔn bo nɔ yi ɖiɖi ɔ ji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_031.wav,2.01925,xɔ gban ɔ amlɔ nɔ gban a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_032.wav,2.01925,do nε ɔ gbandaan
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_033.wav,1.9965625,e hεn gan ɔ gɔndɔn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_034.wav,2.11,e dɔn kan ɔ fyɔn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_035.wav,2.5864375,ali nε ɔ gεdε din
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_036.wav,2.246125,ayi tɔn gεdε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_037.wav,2.6545,afɔ tɔn gεdε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_038.wav,1.6789375,e gble gba
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_039.wav,1.5881875,e xa gwe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_040.wav,2.01925,e do gudo mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_041.wav,2.1326875,ye bi fɔn ganji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_042.wav,1.9285,un ɖu nu ɖebu a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_043.wav,2.246125,ye ɖo mɔɖɔ gbo wε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_044.wav,1.9058125,a ɖo nyε zun wε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_045.wav,1.610875,gbεnu wε gbo we
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_046.wav,2.1326875,gbɔ nu mi xwii
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_047.wav,1.83775,e nɔ xo su a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_048.wav,2.336875,nε azɔ towe ɖe gbɔn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_049.wav,1.384,un wazɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_050.wav,1.701625,e gɔn azɔ wa
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_051.wav,2.609125,e wazɔ ganji a wε a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_052.wav,3.1763125,e ɖazɔ wa wε myamya
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_053.wav,1.7696875,e wu fun gbɔn fi bi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_054.wav,2.3595625,kan ɖe ɔ ɖi ga ɖesu
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_055.wav,1.7696875,a ɖɔ xo gbɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_056.wav,2.6318125,e hun myɔ gaɖagaɖa
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_057.wav,3.1763125,sin sukpɔ ɖo nusunnu ɔ ji gboo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_058.wav,2.246125,a nɔ fun mε din
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_059.wav,1.747,nukun ce gba zin
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_060.wav,1.701625,ayi tɔn bi gba do
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_061.wav,6.2845,un mɔ ajijakuzεn ɖokpo bε wlo eɖee bo ci gbloboetwe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_062.wav,4.1745625,a na sixu mɔ gbadamaja klewun ɖe ɖo finε ma ɖu a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_063.wav,3.562,gεnnu mɔ lisε glo e kε ɔ mi na kpe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_064.wav,2.38225,dawe gεgε ɖe wa ba we kpo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_065.wav,1.9511875,asi nabi wε a ɖo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_066.wav,3.335125,sin gannaganna ɔ bese wε e nɔ hu
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp006_067.wav,1.83775,e hu eɖee
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_001.wav,2.132625,e ge azɔ tɔn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_002.wav,2.4503125,atin ɔ nɔ dan ginnyaa
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_003.wav,1.4974375,go ji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_004.wav,1.520125,e ɖo do
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_005.wav,2.20075,gbεtɔ vi jεn e nɔ xo mɔ a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_006.wav,2.609125,kpakpa ɔ xo awa gbagba bo yi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_007.wav,2.427625,un ɖu gan ni ɖo wezun mε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_008.wav,1.520125,gbεmε nyɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_009.wav,1.9058125,e vivi ɖo gbεmε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_010.wav,1.4520625,vi lɔ nyɔ ɖεkpε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_011.wav,1.7243125,e gbogbo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_012.wav,3.607375,awu ce gege ɖe lε kwiji bɔ un jlo na nya
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_013.wav,1.792375,xo ɔ gege
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_014.wav,1.883125,e su kpɔ din
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_015.wav,2.2915,azɔ ɔ gege ɖasi ce
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_016.wav,1.8150625,a wa nu ɖesu
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_017.wav,2.1780625,e nɔ kpɔn nu gbɔɔn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_018.wav,1.7696875,un ɖo gewungewun
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_019.wav,3.425875,lee a wazɔ ganji ɔ a na ɖakwε gege
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_020.wav,1.5881875,e ɖo ɖagbe a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_021.wav,1.520125,e ɖo ganji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_022.wav,1.5881875,un ɖo ɖagbe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_023.wav,1.7243125,un do ɖagbe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_024.wav,1.83775,e nɔ zaan ɔ un na yi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_025.wav,2.0873125,e nɔ kεya nu gbεtɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_026.wav,1.7696875,e gble wu mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_027.wav,2.473,un gble wu gbε ce do ta
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_028.wav,1.65625,un gble wu dafɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_029.wav,2.01925,e gba nyɔmε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_030.wav,3.1763125,xo e ɖɔ ɔ ji go nu mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_031.wav,4.01575,xε we nɔ nu sin ɖo goli mε a bε na jan
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_032.wav,2.6318125,un nɔ nu soɖabi kpodo bya kpan a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_033.wav,1.9058125,un nu sin vɔvɔ a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_034.wav,2.9040625,kaka yi fi e gbε kpo nu ɖo le
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_035.wav,1.9285,e yi alito
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_036.wav,2.11,xo tɔn mε nɔ fyɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_037.wav,2.01925,e nya glo mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_038.wav,1.883125,nu gbε do mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_039.wav,2.9948125,un ɖo gbo do nu awu ce wε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_040.wav,1.610875,gbo do glii tεn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_041.wav,2.8586875,un ɖo kεn xa mε bɔ un ko gbɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_042.wav,2.38225,un nɔ mɔ nɔvi ce gbɔ a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp007_043.wav,1.747,e fun
