!SIL 1.0	SIL
<UNK> 1.0	SPN
afɔtɔnnukunɖokpogɔ 1.0	a f ɔ t ɔ n n u k u n ɖ o k p o g ɔ 
afɔtɔnnukunεnε 1.0	a f ɔ t ɔ n n u k u n ε n ε 
afɔtɔnnukunεnεgɔ 1.0	a f ɔ t ɔ n n u k u n ε n ε g ɔ 
afɔtɔnɔ 1.0	a f ɔ t ɔ n ɔ 
afɔtεayitɔ 1.0	a f ɔ t ε a y i t ɔ 
afɔtεnwe 1.0	a f ɔ t ε n w e 
afɔvi 1.0	a f ɔ v i 
afɔvɔ 1.0	a f ɔ v ɔ 
afɔwe 1.0	a f ɔ w e 
afɔwenukunatɔn 1.0	a f ɔ w e n u k u n a t ɔ n 
afɔwo 1.0	a f ɔ w o 
afɔwoafatɔn 1.0	a f ɔ w o a f a t ɔ n 
afɔwoafayizεn 1.0	a f ɔ w o a f a y i z ε n 
afɔwoafɔtantɔn 1.0	a f ɔ w o a f ɔ t a n t ɔ n 
afɔwoafɔtεnnε 1.0	a f ɔ w o a f ɔ t ε n n ε 
afɔwoafɔtεnwe 1.0	a f ɔ w o a f ɔ t ε n w e 
afɔwoafɔwe 1.0	a f ɔ w o a f ɔ w e 
afɔwoafɔɖe 1.0	a f ɔ w o a f ɔ ɖ e 
afɔwoafεnε 1.0	a f ɔ w o a f ε n ε 
afɔxomε 1.0	a f ɔ x o m ε 
afɔxu 1.0	a f ɔ x u 
afɔyεyε 1.0	a f ɔ y ε y ε 
afɔɖiɖe 1.0	a f ɔ ɖ i ɖ e 
afɔɖe 1.0	a f ɔ ɖ e 
afɔɖotεn 1.0	a f ɔ ɖ o t ε n 
afεki 1.0	a f ε k i 
afεnε 1.0	a f ε n ε 
aga 1.0	a g a 
agabusi 1.0	a g a b u s i 
agada 1.0	a g a d a 
agagbε 1.0	a g a g b ε 
agagi 1.0	a g a g i 
agakwε 1.0	a g a k w ε 
agalilε 1.0	a g a l i l ε 
agalεtɔ 1.0	a g a l ε t ɔ 
aganma 1.0	a g a n m a 
agavi 1.0	a g a v i 
agan 1.0	a g a n 
agba 1.0	a g b a 
agbade 1.0	a g b a d e 
agbadekun 1.0	a g b a d e k u n 
agbadido 1.0	a g b a d i d o 
agbafafa 1.0	a g b a f a f a 
agbahwlεnhwlεn 1.0	a g b a h w l ε n h w l ε n 
agbahwlεnxamε 1.0	a g b a h w l ε n x a m ε 
agbalin 1.0	a g b a l i n 
agban 1.0	a g b a n 
agbanhεnkpo 1.0	a g b a n h ε n k p o 
agbanhεnnu 1.0	a g b a n h ε n n u 
agbaniin 1.0	a g b a n i i n 
agbanlin 1.0	a g b a n l i n 
agbannɔ 1.0	a g b a n n ɔ 
agbanxɔ 1.0	a g b a n x ɔ 
agbawungba 1.0	a g b a w u n g b a 
agbaza 1.0	a g b a z a 
agbazamεgandido 1.0	a g b a z a m ε g a n d i d o 
agbazamεgandotɔ 1.0	a g b a z a m ε g a n d o t ɔ 
agbagbaɖa 1.0	a g b a g b a ɖ a 
agbasa 1.0	a g b a s a 
agbetawoyo 1.0	a g b e t a w o y o 
agbetɔ 1.0	a g b e t ɔ 
agbigbi 1.0	a g b i g b i 
agblo 1.0	a g b l o 
agbo 1.0	a g b o 
agbojlaka 1.0	a g b o j l a k a 
agbomε 1.0	a g b o m ε 
agbonyu 1.0	a g b o n y u 
agbodo 1.0	a g b o d o 
agbɔ 1.0	a g b ɔ 
agbɔn 1.0	a g b ɔ n 
agbɔnnusu 1.0	a g b ɔ n n u s u 
agbɔnnusuxwedo 1.0	a g b ɔ n n u s u x w e d o 
agidigbawun 1.0	a g i d i g b a w u n 
agidigbanwun 1.0	a g i d i g b a n w u n 
aglan 1.0	a g l a n 
aglanka 1.0	a g l a n k a 
aglanso 1.0	a g l a n s o 
aglin 1.0	a g l i n 
aglingbigba 1.0	a g l i n g b i g b a 
aglipa 1.0	a g l i p a 
aglo 1.0	a g l o 
agluza 1.0	a g l u z a 
aglobese 1.0	a g l o b e s e 
agnihoundanou 1.0	a g n i h o u n d a n o u 
ago 1.0	a g o 
agoo 1.0	a g o o 
agooɖojie 1.0	a g o o ɖ o j i e 
agoun 1.0	a g o u n 
agudu 1.0	a g u d u 
agun 1.0	a g u n 
agunjikpɔntɔ 1.0	a g u n j i k p ɔ n t ɔ 
agunmεxo 1.0	a g u n m ε x o 
agunnukɔntɔ 1.0	a g u n n u k ɔ n t ɔ 
agunvi 1.0	a g u n v i 
agunvijikpɔntɔ 1.0	a g u n v i j i k p ɔ n t ɔ 
agunviwukpenukundotɔ 1.0	a g u n v i w u k p e n u k u n d o t ɔ 
agwin 1.0	a g w i n 
agasa 1.0	a g a s a 
agati 1.0	a g a t i 
agee 1.0	a g e e 
agu 1.0	a g u 
aguu 1.0	a g u u 
age 1.0	a g e 
agewaji 1.0	a g e w a j i 
agidigbo 1.0	a g i d i g b o 
agidigboxotɔ 1.0	a g i d i g b o x o t ɔ 
agɔ 1.0	a g ɔ 
agɔdotɔ 1.0	a g ɔ d o t ɔ 
agɔnglo 1.0	a g ɔ n g l o 
agɔɖetɔ 1.0	a g ɔ ɖ e t ɔ 
agɔn 1.0	a g ɔ n 
agɔnkε 1.0	a g ɔ n k ε 
ah 1.0	a h 
ahaaxεli 1.0	a h a a x ε l i 
ahan 1.0	a h a n 
ahangɔ 1.0	a h a n g ɔ 
ahanjεtɔ 1.0	a h a n j ε t ɔ 
ahannumu 1.0	a h a n n u m u 
ahannumunɔ 1.0	a h a n n u m u n ɔ 
ahannutɔ 1.0	a h a n n u t ɔ 
ahannuzεjlεwu 1.0	a h a n n u z ε j l ε w u 
ahannya 1.0	a h a n n y a 
ahasibayi 1.0	a h a s i b a y i 
ahasitaalinu 1.0	a h a s i t a a l i n u 
ahimin 1.0	a h i m i n 
ahizi 1.0	a h i z i 
ahizinɔ 1.0	a h i z i n ɔ 
ahla 1.0	a h l a 
ahlinhan 1.0	a h l i n h a n 
ahoho 1.0	a h o h o 
ahomaɖegbe 1.0	a h o m a ɖ e g b e 
ahumayi 1.0	a h u m a y i 
ahun 1.0	a h u n 
ahuzamu 1.0	a h u z a m u 
ahuzati 1.0	a h u z a t i 
ahwan 1.0	a h w a n 
ahwandan 1.0	a h w a n d a n 
ahwanfunfun 1.0	a h w a n f u n f u n 
ahwanfunfunzan 1.0	a h w a n f u n f u n z a n 
ahwanfungbakun 1.0	a h w a n f u n g b a k u n 
ahwanfungbε 1.0	a h w a n f u n g b ε 
ahwanfunnu 1.0	a h w a n f u n n u 
ahwanfuntɔ 1.0	a h w a n f u n t ɔ 
ahwanfɔ 1.0	a h w a n f ɔ 
ahwanfɔkpa 1.0	a h w a n f ɔ k p a 
ahwangbamε 1.0	a h w a n g b a m ε 
ahwangbakun 1.0	a h w a n g b a k u n 
ahwangbe 1.0	a h w a n g b e 
ahwangbenu 1.0	a h w a n g b e n u 
ahwangbε 1.0	a h w a n g b ε 
ahwanga 1.0	a h w a n g a 
ahwangan 1.0	a h w a n g a n 
ahwangɔnu 1.0	a h w a n g ɔ n u 
ahwanhun 1.0	a h w a n h u n 
ahwankannumɔ 1.0	a h w a n k a n n u m ɔ 
ahwankpa 1.0	a h w a n k p a 
ahwankpεn 1.0	a h w a n k p ε n 
ahwankanɖo 1.0	a h w a n k a n ɖ o 
ahwankanɖogan 1.0	a h w a n k a n ɖ o g a n 
ahwankεkε 1.0	a h w a n k ε k ε 
ahwankεkεfɔ 1.0	a h w a n k ε k ε f ɔ 
ahwankεkεvi 1.0	a h w a n k ε k ε v i 
ahwanlyannu 1.0	a h w a n l y a n n u 
ahwanmε 1.0	a h w a n m ε 
ahwannusya 1.0	a h w a n n u s y a 
ahwannu 1.0	a h w a n n u 
ahwannɔwe 1.0	a h w a n n ɔ w e 
ahwannε 1.0	a h w a n n ε 
ahwannεmi 1.0	a h w a n n ε m i 
ahwannεsatɔ 1.0	a h w a n n ε s a t ɔ 
ahwannεvi 1.0	a h w a n n ε v i 
ahwansya 1.0	a h w a n s y a 
ahwante 1.0	a h w a n t e 
ahwanvu 1.0	a h w a n v u 
ahwanwlikannumɔ 1.0	a h w a n w l i k a n n u m ɔ 
ahwanwu 1.0	a h w a n w u 
ahwanyisɔsu 1.0	a h w a n y i s ɔ s u 
ahwanyitɔ 1.0	a h w a n y i t ɔ 
ahwanzɔ 1.0	a h w a n z ɔ 
ahwi 1.0	a h w i 
ahwilikpɔnuwa 1.0	a h w i l i k p ɔ n u w a 
ahwli 1.0	a h w l i 
ahwlikpɔnuwa 1.0	a h w l i k p ɔ n u w a 
ahwlivu 1.0	a h w l i v u 
aho 1.0	a h o 
ahɔn 1.0	a h ɔ n 
ahɔnka 1.0	a h ɔ n k a 
ahɔnxlomε 1.0	a h ɔ n x l o m ε 
aime 1.0	a i m e 
aizεn 1.0	a i z ε n 
aja 1.0	a j a 
ajaja 1.0	a j a j a 
ajajaxu 1.0	a j a j a x u 
ajaka 1.0	a j a k a 
ajalɔnlɔn 1.0	a j a l ɔ n l ɔ n 
ajan 1.0	a j a n 
ajana 1.0	a j a n a 
ajanu 1.0	a j a n u 
ajanuhla 1.0	a j a n u h l a 
ajaxi 1.0	a j a x i 
aji 1.0	a j i 
ajidonu 1.0	a j i d o n u 
ajiglokwin 1.0	a j i g l o k w i n 
ajijakuzεn 1.0	a j i j a k u z ε n 
ajijimε 1.0	a j i j i m ε 
ajija 1.0	a j i j a 
ajikponɔ 1.0	a j i k p o n ɔ 
ajinaku 1.0	a j i n a k u 
ajinakuɖu 1.0	a j i n a k u ɖ u 
ajinanku 1.0	a j i n a n k u 
ajinɔtɔ 1.0	a j i n ɔ t ɔ 
ajo 1.0	a j o 
ajogbomε 1.0	a j o g b o m ε 
ajogbe 1.0	a j o g b e 
ajogbogbε 1.0	a j o g b o g b ε 
ajojija 1.0	a j o j i j a 
ajotin 1.0	a j o t i n 
ajotɔ 1.0	a j o t ɔ 
ajowun 1.0	a j o w u n 
ajee 1.0	a j e e 
ajɔ 1.0	a j ɔ 
ajɔnu 1.0	a j ɔ n u 
ajɔtɔ 1.0	a j ɔ t ɔ 
ajɔtεn 1.0	a j ɔ t ε n 
ajɔwatɔ 1.0	a j ɔ w a t ɔ 
ajɔwiwa 1.0	a j ɔ w i w a 
ajɔxwe 1.0	a j ɔ x w e 
akadi 1.0	a k a d i 
akala 1.0	a k a l a 
akan 1.0	a k a n 
akanmu 1.0	a k a n m u 
akayikusi 1.0	a k a y i k u s i 
akaziasi 1.0	a k a z i a s i 
akilasi 1.0	a k i l a s i 
akisa 1.0	a k i s a 
akisafu 1.0	a k i s a f u 
akizivu 1.0	a k i z i v u 
akizivunu 1.0	a k i z i v u n u 
aklabimu 1.0	a k l a b i m u 
aklanɔ 1.0	a k l a n ɔ 
aklasu 1.0	a k l a s u 
akli 1.0	a k l i 
aklunɔ 1.0	a k l u n ɔ 
akla 1.0	a k l a 
aklo 1.0	a k l o 
aklunɔxo 1.0	a k l u n ɔ x o 
aklunɔzan 1.0	a k l u n ɔ z a n 
aklunɔzangbla 1.0	a k l u n ɔ z a n g b l a 
aklunɔzɔ 1.0	a k l u n ɔ z ɔ 
akluzu 1.0	a k l u z u 
ako 1.0	a k o 
akolo 1.0	a k o l o 
akon 1.0	a k o n 
akonkpikpan 1.0	a k o n k p i k p a n 
akonpkin 1.0	a k o n p k i n 
akonta 1.0	a k o n t a 
akonu 1.0	a k o n u 
akota 1.0	a k o t a 
akotokkwin 1.0	a k o t o k k w i n 
akoue 1.0	a k o u e 
akowunka 1.0	a k o w u n k a 
akoyi 1.0	a k o y i 
akpa 1.0	a k p a 
akpado 1.0	a k p a d o 
akpajlε 1.0	a k p a j l ε 
akpakpa 1.0	a k p a k p a 
akpakun 1.0	a k p a k u n 
akpala 1.0	a k p a l a 
akpan 1.0	a k p a n 
akpawe 1.0	a k p a w e 
akpayimu 1.0	a k p a y i m u 
akpaɖuɖu 1.0	a k p a ɖ u ɖ u 
akpi 1.0	a k p i 
akpo 1.0	a k p o 
akpotokwin 1.0	a k p o t o k w i n 
akpotokwinnyitɔ 1.0	a k p o t o k w i n n y i t ɔ 
akpadido 1.0	a k p a d i d o 
akpakpo 1.0	a k p a k p o 
akpaxwe 1.0	a k p a x w e 
akpe 1.0	a k p e 
akpɔ 1.0	a k p ɔ 
akpɔkpɔ 1.0	a k p ɔ k p ɔ 
akpɔmimɔ 1.0	a k p ɔ m i m ɔ 
akubɔɔ 1.0	a k u b ɔ ɔ 
akutε 1.0	a k u t ε 
akwe 1.0	a k w e 
akwsiinu 1.0	a k w s i i n u 
akwε 1.0	a k w ε 
akwεnu 1.0	a k w ε n u 
akwεvi 1.0	a k w ε v i 
akwεgan 1.0	a k w ε g a n 
akwεgba 1.0	a k w ε g b a 
akwεgbajinɔtɔ 1.0	a k w ε g b a j i n ɔ t ɔ 
akwεjɔ 1.0	a k w ε j ɔ 
akwεnyatɔ 1.0	a k w ε n y a t ɔ 
akwεnuvɔ 1.0	a k w ε n u v ɔ 
akwεnuwu 1.0	a k w ε n u w u 
akwεsatɔ 1.0	a k w ε s a t ɔ 
akwεɖyɔtɔ 1.0	a k w ε ɖ y ɔ t ɔ 
akwεnɔ 1.0	a k w ε n ɔ 
aka 1.0	a k a 
akaa 1.0	a k a a 
akabu 1.0	a k a b u 
akani 1.0	a k a n i 
akanma 1.0	a k a n m a 
akayi 1.0	a k a y i 
akazi 1.0	a k a z i 
akici 1.0	a k i c i 
akiza 1.0	a k i z a 
aku 1.0	a k u 
akugbeji 1.0	a k u g b e j i 
akun 1.0	a k u n 
akuvu 1.0	a k u v u 
akɔ 1.0	a k ɔ 
akɔjijε 1.0	a k ɔ j i j ε 
akɔjijεgba 1.0	a k ɔ j i j ε g b a 
akɔjijεsεn 1.0	a k ɔ j i j ε s ε n 
akɔjijεwema 1.0	a k ɔ j i j ε w e m a 
akɔjijεxo 1.0	a k ɔ j i j ε x o 
akɔjεgbanusu 1.0	a k ɔ j ε g b a n u s u 
akɔmasegbe 1.0	a k ɔ m a s e g b e 
akɔn 1.0	a k ɔ n 
akɔngonu 1.0	a k ɔ n g o n u 
akɔnkpantɔ 1.0	a k ɔ n k p a n t ɔ 
akɔnkpinkpan 1.0	a k ɔ n k p i n k p a n 
akɔnnu 1.0	a k ɔ n n u 
akɔnta 1.0	a k ɔ n t a 
akɔntablanu 1.0	a k ɔ n t a b l a n u 
akɔntakpo 1.0	a k ɔ n t a k p o 
akɔnyinyi 1.0	a k ɔ n y i n y i 
akɔta 1.0	a k ɔ t a 
akɔtagan 1.0	a k ɔ t a g a n 
akɔtavlɔ 1.0	a k ɔ t a v l ɔ 
akɔwunta 1.0	a k ɔ w u n t a 
akɔɔ 1.0	a k ɔ ɔ 
ala 1.0	a l a 
alabii 1.0	a l a b i i 
alabiinu 1.0	a l a b i i n u 
aladaa 1.0	a l a d a a 
aladi 1.0	a l a d i 
alagaa 1.0	a l a g a a 
alalati 1.0	a l a l a t i 
alamu 1.0	a l a m u 
alamugbe 1.0	a l a m u g b e 
alamunu 1.0	a l a m u n u 
alamεlεki 1.0	a l a m ε l ε k i 
alani 1.0	a l a n i 
alannuwiwa 1.0	a l a n n u w i w a 
alatεnwenɔ 1.0	a l a t ε n w e n ɔ 
alavinu 1.0	a l a v i n u 
alakali 1.0	a l a k a l i 
alannu 1.0	a l a n n u 
alannuwatɔ 1.0	a l a n n u w a t ɔ 
alawo 1.0	a l a w o 
aleli 1.0	a l e l i 
aleluya 1.0	a l e l u y a 
aleopaji 1.0	a l e o p a j i 
aletasi 1.0	a l e t a s i 
ali 1.0	a l i 
alia 1.0	a l i a 
alicɔtɔ 1.0	a l i c ɔ t ɔ 
alidata 1.0	a l i d a t a 
alidayi 1.0	a l i d a y i 
aliga 1.0	a l i g a 
aligbontɔ 1.0	a l i g b o n t ɔ 
aligbɔntɔ 1.0	a l i g b ɔ n t ɔ 
aligbɔntɔkwε 1.0	a l i g b ɔ n t ɔ k w ε 
alihεnnu 1.0	a l i h ε n n u 
alikplehɔntεn 1.0	a l i k p l e h ɔ n t ε n 
alimateenu 1.0	a l i m a t e e n u 
alin 1.0	a l i n 
alingo 1.0	a l i n g o 
alinkan 1.0	a l i n k a n 
alinmε 1.0	a l i n m ε 
alinu 1.0	a l i n u 
alisa 1.0	a l i s a 
alisayi 1.0	a l i s a y i 
alisitobulu 1.0	a l i s i t o b u l u 
alisitaki 1.0	a l i s i t a k i 
aliswεεn 1.0	a l i s w ε ε n 
alitanu 1.0	a l i t a n u 
alito 1.0	a l i t o 
aliwayitɔ 1.0	a l i w a y i t ɔ 
alixlεmεtɔ 1.0	a l i x l ε m ε t ɔ 
alixo 1.0	a l i x o 
aliya 1.0	a l i y a 
aliyani 1.0	a l i y a n i 
aliye 1.0	a l i y e 
aliɖedokεntɔmεgan 1.0	a l i ɖ e d o k ε n t ɔ m ε g a n 
aliɖedokεntɔmεtɔ 1.0	a l i ɖ e d o k ε n t ɔ m ε t ɔ 
aliεli 1.0	a l i ε l i 
aliεlinu 1.0	a l i ε l i n u 
alo 1.0	a l o 
alodo 1.0	a l o d o 
alodu 1.0	a l o d u 
alokpa 1.0	a l o k p a 
alolyen 1.0	a l o l y e n 
alolyenme 1.0	a l o l y e n m e 
alolyenzo 1.0	a l o l y e n z o 
alome 1.0	a l o m e 
alona 1.0	a l o n a 
alonuno 1.0	a l o n u n o 
alowlivi 1.0	a l o w l i v i 
alowεεnu 1.0	a l o w ε ε n u 
alowεsi 1.0	a l o w ε s i 
alowεsitin 1.0	a l o w ε s i t i n 
alowεε 1.0	a l o w ε ε 
alubɔti 1.0	a l u b ɔ t i 
aluci 1.0	a l u c i 
alufa 1.0	a l u f a 
alufee 1.0	a l u f e e 
aluma 1.0	a l u m a 
alumɔdadi 1.0	a l u m ɔ d a d i 
alumɔni 1.0	a l u m ɔ n i 
alumɔnidivlatayima 1.0	a l u m ɔ n i d i v l a t a y i m a 
aluwa 1.0	a l u w a 
